[2026-08-07T21:40:09.859Z] INFO  [Installer] Checking Jolli Memory status
[2026-08-07T21:40:11.178Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, worktreeHooks=true, sessions=0, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=true/true, cursor=true/true, copilot=false/true, copilotChat=true, cline=false/undefined
[2026-08-07T21:40:11.424Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, worktreeHooks=true, sessions=0, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=true/true, cursor=true/true, copilot=false/true, copilotChat=true, cline=false/undefined
[2026-08-07T21:40:11.432Z] INFO  [Installer] Checking Jolli Memory status
[2026-08-07T21:40:11.436Z] INFO  [StorageFactory] StorageFactory.create: storageMode=dual-write, projectPath=d:\stitch_
[2026-08-07T21:40:11.690Z] INFO  [StorageFactory] Storage mode: dual-write (primary=orphan, shadow=folder)
[2026-08-07T21:40:13.057Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, worktreeHooks=true, sessions=0, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=true/true, cursor=true/true, copilot=false/true, copilotChat=true, cline=false/undefined
[2026-08-07T22:13:14.403Z] INFO  [PrepareMsgHook] === Prepare-commit-msg hook started (source: message) ===
[2026-08-07T22:13:14.486Z] INFO  [PrepareMsgHook] === Prepare-commit-msg hook finished ===
[2026-08-07T22:13:16.611Z] INFO  [PostCommitHook] [trace=fa8e2cee4108aaa9e9b80bcb5f897fd5] Detected operation: commit
[2026-08-07T22:13:16.674Z] INFO  [PostCommitHook] [trace=fa8e2cee4108aaa9e9b80bcb5f897fd5] Enqueued: type=commit hash=46496a45
[2026-08-07T22:13:16.674Z] INFO  [QueueWorker] [trace=fa8e2cee4108aaa9e9b80bcb5f897fd5] Launching background worker
[2026-08-07T22:13:16.681Z] INFO  [QueueWorker] [trace=fa8e2cee4108aaa9e9b80bcb5f897fd5] Background worker spawned (PID: 25992)
